🔄 IBKR LIVE SYNC STARTED
📊 Symbols: XAUUSD, AAPL, NVDA, TSLA, SPY
⏱️  Update interval: 60 seconds

⏰ 18:33:44 - Syncing IBKR prices... /Users/anubhavarya/star/star-dashboard/ibkr_sync.py:56: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  "updated_at": datetime.utcnow().isoformat()
/Users/anubhavarya/star/star-dashboard/ibkr_sync.py:78: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  "last_updated": datetime.utcnow().isoformat()
✅ Updated 10 positions | Gold: $4453.34
⏰ 19:53:50 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4452.26
⏰ 19:54:52 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4464.85
⏰ 19:55:53 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4469.80
⏰ 19:56:55 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4463.68
⏰ 19:57:57 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4467.96
⏰ 19:58:59 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4452.52
⏰ 20:00:00 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4459.42
⏰ 20:01:02 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4461.09
⏰ 20:02:03 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4462.28
⏰ 20:03:05 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4454.55
⏰ 20:04:08 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4454.00
⏰ 20:05:09 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4451.24
⏰ 20:06:11 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4452.21
⏰ 20:07:13 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4457.94
⏰ 20:08:15 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4452.08
⏰ 20:09:17 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4456.76
⏰ 20:10:19 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4457.61
⏰ 20:11:21 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4459.83
⏰ 20:12:23 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4455.56
⏰ 20:13:24 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4464.40
⏰ 20:14:27 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.14
⏰ 20:15:29 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4468.07
⏰ 20:16:30 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4462.54
⏰ 20:17:32 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4464.57
⏰ 20:18:34 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.49
⏰ 20:19:36 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4460.47
⏰ 20:20:38 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4453.11
⏰ 20:21:41 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4458.18
⏰ 20:22:44 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4468.54
⏰ 20:23:46 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4465.50
⏰ 20:24:48 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4452.55
⏰ 20:25:50 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4467.09
⏰ 20:26:52 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4462.90
⏰ 20:27:54 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4459.72
⏰ 20:28:57 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4464.81
⏰ 20:29:59 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4451.95
⏰ 20:31:01 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4464.68
⏰ 20:32:02 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4453.76
⏰ 20:33:04 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4453.84
⏰ 20:34:06 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.83
⏰ 20:35:08 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4454.24
⏰ 20:36:10 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4464.44
⏰ 20:37:12 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4453.78
⏰ 20:38:14 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4458.25
⏰ 20:39:16 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4456.91
⏰ 20:40:19 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.66
⏰ 20:41:21 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4455.22
⏰ 20:42:23 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4459.60
⏰ 20:43:25 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4469.90
⏰ 20:44:27 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4459.18
⏰ 20:45:29 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4455.37
⏰ 20:46:46 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4454.54
⏰ 20:47:47 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4452.64
⏰ 20:48:49 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4457.69
⏰ 20:49:50 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4455.70
⏰ 20:50:52 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4456.91
⏰ 20:51:54 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4452.31
⏰ 20:52:56 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4461.16
⏰ 20:53:57 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4466.52
⏰ 20:54:59 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4464.81
⏰ 20:56:01 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4456.85
⏰ 20:57:02 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4457.74
⏰ 20:58:04 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4456.72
⏰ 20:59:06 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4455.70
⏰ 21:00:08 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4464.94
⏰ 21:01:09 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4463.47
⏰ 21:02:11 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4452.40
⏰ 21:03:12 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4462.21
⏰ 21:04:14 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4468.19
⏰ 21:05:16 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4459.02
⏰ 21:06:18 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4459.40
⏰ 21:07:20 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4453.52
⏰ 21:08:22 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4465.81
⏰ 21:09:23 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4451.23
⏰ 21:10:25 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4469.46
⏰ 21:11:27 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4456.44
⏰ 21:12:28 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4456.10
⏰ 21:13:30 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4458.22
⏰ 21:14:31 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4466.81
⏰ 21:15:33 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4461.80
⏰ 21:16:35 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4465.54
⏰ 21:17:36 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4457.85
⏰ 21:18:38 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4458.91
⏰ 21:19:39 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4468.62
⏰ 21:20:41 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4463.53
⏰ 21:21:44 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4465.33
⏰ 21:22:45 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4469.67
⏰ 21:23:47 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4466.64
⏰ 21:24:48 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4458.20
⏰ 21:25:50 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4465.50
⏰ 21:26:52 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4467.52
⏰ 21:27:53 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4458.82
⏰ 21:28:55 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4463.48
⏰ 21:29:56 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4462.09
⏰ 21:30:58 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4456.22
⏰ 21:32:00 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4458.59
⏰ 21:33:01 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4467.48
⏰ 21:34:03 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4457.42
⏰ 21:35:06 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4456.12
⏰ 21:36:07 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4462.72
⏰ 21:37:09 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4461.19
⏰ 21:38:11 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.99
⏰ 21:39:13 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4466.24
⏰ 21:40:16 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4469.05
⏰ 21:41:18 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4462.74
⏰ 21:42:20 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4463.27
⏰ 21:43:21 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4453.49
⏰ 21:44:23 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4458.06
⏰ 21:45:25 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4456.52
⏰ 21:46:28 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4469.92
⏰ 21:47:30 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4455.15
⏰ 21:48:35 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4459.36
⏰ 21:49:39 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4469.84
⏰ 21:50:41 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.82
⏰ 21:51:45 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4466.22
⏰ 21:52:48 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4451.73
⏰ 21:53:50 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.25
⏰ 21:54:52 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4453.84
⏰ 21:55:53 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4459.27
⏰ 21:56:55 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.26
⏰ 21:57:57 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4456.53
⏰ 21:58:58 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4452.79
⏰ 22:00:00 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4465.06
⏰ 22:01:03 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4463.96
⏰ 22:02:05 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4469.96
⏰ 22:03:08 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4469.53
⏰ 22:04:09 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4457.49
⏰ 22:05:11 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4456.01
⏰ 22:06:12 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4451.67
⏰ 22:07:14 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4461.06
⏰ 22:08:15 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4454.98
⏰ 22:09:17 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4453.08
⏰ 22:10:18 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4453.52
⏰ 22:11:20 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4464.92
⏰ 22:12:22 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4467.18
⏰ 22:13:24 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.63
⏰ 22:14:27 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4451.14
⏰ 22:15:29 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4456.04
⏰ 22:16:30 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4468.32
⏰ 22:17:32 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4469.22
⏰ 22:18:34 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4466.90
⏰ 22:19:35 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.09
⏰ 22:20:37 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4462.55
⏰ 22:21:38 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4460.05
⏰ 22:22:40 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4458.73
⏰ 22:23:41 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4457.76
⏰ 22:24:43 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4453.65
⏰ 22:25:45 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4466.64
⏰ 22:26:46 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4462.58
⏰ 22:27:48 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4465.28
⏰ 22:28:49 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.86
⏰ 22:29:51 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4469.01
⏰ 22:30:52 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4467.29
⏰ 22:31:54 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4463.23
⏰ 22:32:55 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4461.86
⏰ 22:33:57 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4463.47
⏰ 22:34:59 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4451.68
⏰ 22:36:00 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4456.12
⏰ 22:37:02 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4459.19
⏰ 22:38:04 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.22
⏰ 22:39:05 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.87
⏰ 22:40:07 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4466.44
⏰ 22:41:08 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4462.08
⏰ 22:42:10 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4456.38
⏰ 22:43:12 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.75
⏰ 22:44:13 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4455.66
⏰ 22:45:15 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4464.21
⏰ 22:46:17 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4466.09
⏰ 22:47:18 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4452.32
⏰ 22:48:20 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4457.19
⏰ 22:49:21 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4451.62
⏰ 22:50:23 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4468.72
⏰ 22:51:24 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4461.51
⏰ 22:52:26 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4469.27
⏰ 22:53:27 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4468.22
⏰ 22:54:29 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4461.72
⏰ 22:55:30 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4461.81
⏰ 22:56:32 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4458.88
⏰ 22:57:34 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4453.66
⏰ 22:58:35 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4464.69
⏰ 22:59:37 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4457.99
⏰ 23:00:38 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4461.66
⏰ 23:01:40 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4456.03
⏰ 23:02:41 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4461.97
⏰ 23:03:43 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4451.31
⏰ 23:04:44 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4464.53
⏰ 23:05:46 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4465.75
⏰ 23:06:48 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4466.68
⏰ 23:07:49 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4454.39
⏰ 23:08:51 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4458.15
⏰ 23:10:21 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4459.76
⏰ 23:11:22 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4455.78
⏰ 23:12:24 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.83
⏰ 23:13:26 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4469.44
⏰ 23:14:27 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4462.38
⏰ 23:15:29 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4468.44
⏰ 23:16:31 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.91
⏰ 23:17:32 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.78
⏰ 23:18:34 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4454.44
⏰ 23:19:35 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4465.58
⏰ 23:20:37 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4466.71
⏰ 23:21:38 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4469.12
⏰ 23:22:40 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4451.59
⏰ 23:23:41 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4454.12
⏰ 23:24:43 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4463.16
⏰ 23:25:44 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4459.34
⏰ 23:26:46 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4459.14
⏰ 23:27:47 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4458.79
⏰ 23:28:49 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4452.60
⏰ 23:29:50 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4463.81
